nome_produto	valor_produto	data_busca	link_produto
"Smartphone LG K10 TV 16GB Dourado Dual Chip 4G - Câm 13MP + Selfie 8MP Flash Tela 5.3"" HD Octa Core"	599.0	2017-10-09	https://www.magazineluiza.com.br/smartphone-lg-k10-tv-16gb-dourado-dual-chip-4g-cam-13mp-selfie-8mp-flash-tela-5.3-hd-octa-core/p/2159150/te/lgk1/
"Smartphone Motorola Moto G5 32GB Platinum - Dual Chip 4G Câm. 13MP + Selfie 5MP Tela 5"""	849.0	2017-10-09	https://www.magazineluiza.com.br/smartphone-motorola-moto-g5-32gb-platinum-dual-chip-4g-cam.-13mp-selfie-5mp-tela-5/p/2171692/te/mtg5/
"Smartphone Samsung Galaxy J5 Prime 32GB Dourado - Dual Chip 4G Câm. 13MP + Selfie 5MP Tela 5"" HD"	779.0	2017-10-09	https://www.magazineluiza.com.br/smartphone-samsung-galaxy-j5-prime-32gb-dourado-dual-chip-4g-cam.-13mp-selfie-5mp-tela-5-hd/p/2180586/te/gj5p/
"Smartphone LG K10 TV 16GB Índigo Dual Chip 4G - Câm 13MP + Selfie 8MP Flash Tela 5.3"" HD Octa core"	599.0	2017-10-09	https://www.magazineluiza.com.br/smartphone-lg-k10-tv-16gb-indigo-dual-chip-4g-cam-13mp-selfie-8mp-flash-tela-5.3-hd-octa-core/p/2152651/te/lgk1/
"Smartphone Motorola Moto G5 32GB Ouro Dual Chip 4G - Câm. 13MP + Selfie 5MP Tela 5"" Octa Core"	849.0	2017-10-09	https://www.magazineluiza.com.br/smartphone-motorola-moto-g5-32gb-ouro-dual-chip-4g-cam.-13mp-selfie-5mp-tela-5-octa-core/p/2171691/te/mtg5/
"Smartphone Samsung Galaxy J5 Prime 32GB Rosa - Dual Chip 4G Câm. 13MP + Selfie 5MP Tela 5"" HD"	779.0	2017-10-09	https://www.magazineluiza.com.br/smartphone-samsung-galaxy-j5-prime-32gb-rosa-dual-chip-4g-cam.-13mp-selfie-5mp-tela-5-hd/p/2180588/te/gj5p/
"Smartphone Samsung Galaxy J5 Prime 32GB Preto - Dual Chip 4G Câm. 13MP + Selfie 5MP Tela 5"" HD"	779.0	2017-10-09	https://www.magazineluiza.com.br/smartphone-samsung-galaxy-j5-prime-32gb-preto-dual-chip-4g-cam.-13mp-selfie-5mp-tela-5-hd/p/2180584/te/gj5p/
"Smartphone Motorola Moto G5 Plus 32GB Azul Safira - Dual Chip Câm. 12MP + Selfie 5MP Tela 5.2"" Full HD"	1099.0	2017-10-09	https://www.magazineluiza.com.br/smartphone-motorola-moto-g5-plus-32gb-azul-safira-dual-chip-cam.-12mp-selfie-5mp-tela-5.2-full-hd/p/2177830/te/mg5p/
"Smartphone Motorola Moto G5 Plus 32GB Ouro - Dual Chip Câm. 12MP + Selfie 5MP Tela 5.2"" Full HD"	1099.0	2017-10-09	https://www.magazineluiza.com.br/smartphone-motorola-moto-g5-plus-32gb-ouro-dual-chip-cam.-12mp-selfie-5mp-tela-5.2-full-hd/p/2171689/te/mg5p/
"iPhone 7 Apple 32GB Preto Matte 4G Tela 4.7""Retina - Câm. 12MP + Selfie 7MP iOS 11 Proc. Chip A10"	3199.0	2017-10-09	https://www.magazineluiza.com.br/iphone-7-apple-32gb-preto-matte-4g-tela-4.7-retina-cam.-12mp-selfie-7mp-ios-11-proc.-chip-a10/p/2180092/te/iph7/
"Smartphone Motorola Moto G5 Plus 32GB Platinum - Dual Chip Câm. 12MP + Selfie 5MP Tela 5.2"" Full HD"	1099.0	2017-10-09	https://www.magazineluiza.com.br/smartphone-motorola-moto-g5-plus-32gb-platinum-dual-chip-cam.-12mp-selfie-5mp-tela-5.2-full-hd/p/2171690/te/mg5p/
Smartphone Motorola Moto G5s Plus 32GB - Platinum Dual Chip 4G Câm. Duo 13MP + 13MP	1499.0	2017-10-09	https://www.magazineluiza.com.br/smartphone-motorola-moto-g5s-plus-32gb-platinum-dual-chip-4g-cam.-duo-13mp-13mp/p/1555363/te/mgsp/
"iPhone 6s Apple 32GB Cinza Espacial 4G - Tela 4.7"" Retina Câmera 5MP iOS 11 Proc. A9 Wi-Fi"	2499.0	2017-10-09	https://www.magazineluiza.com.br/iphone-6s-apple-32gb-cinza-espacial-4g-tela-4.7-retina-camera-5mp-ios-11-proc.-a9-wi-fi/p/2169729/te/ip6s/
"iPhone 7 Red Special Edition Apple 128GB - 4G 4.7"" Câm. 12MP + Selfie 7MP iOS 11"	3699.0	2017-10-09	https://www.magazineluiza.com.br/iphone-7-red-special-edition-apple-128gb-4g-4.7-cam.-12mp-selfie-7mp-ios-11/p/2180095/te/iph7/
"iPhone 6s Apple 32GB Dourado 4G Tela 4.7"" - Retina Câmera 5MP iOS 11 Proc. A9 Wi-Fi"	2499.0	2017-10-09	https://www.magazineluiza.com.br/iphone-6s-apple-32gb-dourado-4g-tela-4.7-retina-camera-5mp-ios-11-proc.-a9-wi-fi/p/2169731/te/ip6s/
"Smartphone Samsung Galaxy J7 Prime 32GB Dourado - Dual Chip 4G Câm 13MP + Selfie 8MP Flash Tela 5.5"""	1299.9	2017-10-09	https://www.magazineluiza.com.br/smartphone-samsung-galaxy-j7-prime-32gb-dourado-dual-chip-4g-cam-13mp-selfie-8mp-flash-tela-5.5/p/2169857/te/gj7p/
